,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
35,frozenset({'Init_Test_IRpbLqpiSoAJLQt'}),frozenset({'Init_Test_bspxwVBudWSqtEL'}),0.3333333333333333,0.36,0.2,0.6000000000000001,1.666666666666667,0.08000000000000002,1.6000000000000003,0.6
36,frozenset({'Init_Test_oHtKaNQQwkGBOtD'}),frozenset({'Init_Test_YdbFZEJYFvuvivW'}),0.3333333333333333,0.3466666666666667,0.2,0.6000000000000001,1.730769230769231,0.08444444444444446,1.6333333333333337,0.6333333333333333
37,frozenset({'Init_Test_YdbFZEJYFvuvivW'}),frozenset({'Init_Test_oHtKaNQQwkGBOtD'}),0.3466666666666667,0.3333333333333333,0.2,0.576923076923077,1.730769230769231,0.08444444444444446,1.5757575757575761,0.6462585034013606
38,frozenset({'Init_Test_kBykpcEeGbLWEzW'}),frozenset({'Init_Test_GisqJogMpeIqvRH'}),0.3333333333333333,0.38666666666666666,0.2,0.6000000000000001,1.5517241379310347,0.07111111111111112,1.5333333333333337,0.5333333333333333
39,frozenset({'Init_Test_GisqJogMpeIqvRH'}),frozenset({'Init_Test_kBykpcEeGbLWEzW'}),0.38666666666666666,0.3333333333333333,0.2,0.5172413793103449,1.5517241379310347,0.07111111111111112,1.3809523809523812,0.5797101449275364
40,frozenset({'Init_Test_GNPrlltbrDiECBb'}),frozenset({'Init_Test_nKhtqDhAqhpXRoB'}),0.3333333333333333,0.38666666666666666,0.2,0.6000000000000001,1.5517241379310347,0.07111111111111112,1.5333333333333337,0.5333333333333333
41,frozenset({'Init_Test_nKhtqDhAqhpXRoB'}),frozenset({'Init_Test_GNPrlltbrDiECBb'}),0.38666666666666666,0.3333333333333333,0.2,0.5172413793103449,1.5517241379310347,0.07111111111111112,1.3809523809523812,0.5797101449275364
42,frozenset({'Init_Test_IRpbLqpiSoAJLQt'}),frozenset({'Init_Test_LgTBrSAZPoCXkEf'}),0.3333333333333333,0.3333333333333333,0.2,0.6000000000000001,1.8000000000000003,0.0888888888888889,1.6666666666666672,0.6666666666666666
43,frozenset({'Init_Test_LgTBrSAZPoCXkEf'}),frozenset({'Init_Test_IRpbLqpiSoAJLQt'}),0.3333333333333333,0.3333333333333333,0.2,0.6000000000000001,1.8000000000000003,0.0888888888888889,1.6666666666666672,0.6666666666666666
44,frozenset({'Init_Test_DIYXVNmJHMsGaCH'}),frozenset({'Init_Test_LgTBrSAZPoCXkEf'}),0.37333333333333335,0.3333333333333333,0.2,0.5357142857142857,1.6071428571428572,0.07555555555555557,1.435897435897436,0.6028368794326241
45,frozenset({'Init_Test_LgTBrSAZPoCXkEf'}),frozenset({'Init_Test_DIYXVNmJHMsGaCH'}),0.3333333333333333,0.37333333333333335,0.2,0.6000000000000001,1.6071428571428572,0.07555555555555557,1.566666666666667,0.5666666666666667
46,frozenset({'Init_Test_BLsEsxPUJKHkuhg'}),frozenset({'Init_Test_LgTBrSAZPoCXkEf'}),0.38666666666666666,0.3333333333333333,0.2,0.5172413793103449,1.5517241379310347,0.07111111111111112,1.3809523809523812,0.5797101449275364
47,frozenset({'Init_Test_LgTBrSAZPoCXkEf'}),frozenset({'Init_Test_BLsEsxPUJKHkuhg'}),0.3333333333333333,0.38666666666666666,0.2,0.6000000000000001,1.5517241379310347,0.07111111111111112,1.5333333333333337,0.5333333333333333
48,frozenset({'Init_Test_DIYXVNmJHMsGaCH'}),frozenset({'Init_Test_bWTcEiwjInFaGFt'}),0.37333333333333335,0.3333333333333333,0.22666666666666666,0.6071428571428571,1.8214285714285714,0.10222222222222221,1.696969696969697,0.7196495619524405
49,frozenset({'Init_Test_bWTcEiwjInFaGFt'}),frozenset({'Init_Test_DIYXVNmJHMsGaCH'}),0.3333333333333333,0.37333333333333335,0.22666666666666666,0.68,1.8214285714285714,0.10222222222222221,1.9583333333333337,0.676470588235294
50,frozenset({'Init_Test_PvluLrGxFSeQXxs'}),frozenset({'Init_Test_bWTcEiwjInFaGFt'}),0.4,0.3333333333333333,0.2,0.5,1.5,0.06666666666666668,1.3333333333333335,0.5555555555555557
51,frozenset({'Init_Test_bWTcEiwjInFaGFt'}),frozenset({'Init_Test_PvluLrGxFSeQXxs'}),0.3333333333333333,0.4,0.2,0.6000000000000001,1.5000000000000002,0.06666666666666668,1.5000000000000002,0.5
52,frozenset({'Init_Test_PFfiNytNdPdKrFD'}),frozenset({'Init_Test_GisqJogMpeIqvRH'}),0.32,0.38666666666666666,0.2,0.625,1.6163793103448276,0.07626666666666668,1.6355555555555554,0.5607843137254903
53,frozenset({'Init_Test_GisqJogMpeIqvRH'}),frozenset({'Init_Test_PFfiNytNdPdKrFD'}),0.38666666666666666,0.32,0.2,0.5172413793103449,1.6163793103448276,0.07626666666666668,1.4085714285714286,0.6217391304347827
54,frozenset({'Init_Test_mxEKzQfDmgHjcXv'}),frozenset({'Init_Test_YbCZcRvCjFsYRCB'}),0.32,0.3466666666666667,0.2,0.625,1.8028846153846154,0.08906666666666667,1.7422222222222221,0.6549019607843138
